student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
6784,275483,"Business Analyst",2022-05-30,0,NULL,NULL
6785,275487,"Data Analyst",2022-05-31,0,NULL,NULL
6786,275498,"Data Scientist",2022-05-31,0,NULL,NULL
6787,275509,"Data Scientist",2022-05-31,0,NULL,NULL
6788,275510,"Data Scientist",2022-05-31,0,NULL,NULL
6789,275513,"Data Scientist",2022-07-26,0,NULL,NULL
6790,275518,"Data Analyst",2022-06-02,0,NULL,NULL
6791,275521,"Data Analyst",2022-05-31,0,NULL,NULL
6792,275529,"Data Scientist",2022-06-01,0,NULL,NULL
6793,275531,"Data Analyst",2022-09-05,0,NULL,NULL
6794,275532,"Data Scientist",2022-05-31,0,NULL,NULL
6795,275533,"Data Analyst",2022-06-16,0,NULL,NULL
6796,275534,"Data Scientist",2022-06-01,0,NULL,NULL
6797,275540,"Data Analyst",2022-08-16,0,NULL,NULL
6798,275544,"Data Analyst",2022-06-03,0,NULL,NULL
6799,275545,"Data Scientist",2022-05-31,0,NULL,NULL
6800,275552,"Data Scientist",2022-05-31,0,NULL,NULL
6801,275552,"Data Analyst",2022-06-02,0,NULL,NULL
6802,275554,"Data Analyst",2022-06-01,0,NULL,NULL
6803,275556,"Data Analyst",2022-06-01,0,NULL,NULL
6804,275561,"Data Analyst",2022-05-31,0,NULL,NULL
6805,275563,"Data Analyst",2022-05-31,0,NULL,NULL
6806,275565,"Data Scientist",2022-05-31,0,NULL,NULL
6807,275566,"Business Analyst",2022-07-14,0,NULL,NULL
6808,275570,"Data Scientist",2022-05-31,0,NULL,NULL
6809,275572,"Business Analyst",2022-06-01,0,NULL,NULL
6810,275578,"Data Scientist",2022-05-31,0,NULL,NULL
6811,275579,"Data Scientist",2022-06-04,0,NULL,NULL
6812,275583,"Data Scientist",2022-09-02,0,NULL,NULL
6813,275592,"Data Scientist",2022-06-01,0,NULL,NULL
6814,275592,"Data Analyst",2022-06-14,0,NULL,NULL
6815,275594,"Data Scientist",2022-08-15,0,NULL,NULL
